time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-09-30,11.1,6.4,14.6,8.5,0.0,237.0,16.4,48.2,1006.0,
2022-10-01,14.1,11.6,17.7,0.0,0.0,260.0,19.9,44.5,1006.9,
2022-10-02,13.0,10.1,16.6,0.0,0.0,292.0,9.7,24.1,1020.0,
2022-10-03,11.8,8.2,16.3,0.0,0.0,175.0,6.9,22.2,1025.6,
2022-10-04,15.0,12.1,17.8,0.0,0.0,207.0,17.5,44.5,1017.2,
2022-10-05,15.1,10.7,18.5,0.9,0.0,228.0,24.5,53.7,1012.5,
2022-10-06,12.2,7.4,17.1,0.0,0.0,235.0,16.3,42.6,1026.7,
2022-10-07,13.7,11.2,17.4,0.0,0.0,230.0,19.2,50.0,1019.9,
2022-10-08,10.7,6.9,15.4,0.0,0.0,256.0,10.4,25.9,1022.7,
2022-10-09,11.2,7.3,16.0,0.0,0.0,167.0,10.3,29.6,1018.3,
2022-10-10,11.6,7.8,14.8,0.8,0.0,313.0,11.0,33.3,1017.4,
2022-10-11,9.1,4.7,14.6,0.0,0.0,253.0,4.9,14.8,1026.9,
2022-10-12,11.0,6.5,15.6,0.9,0.0,199.0,9.9,31.5,1021.4,
2022-10-13,12.9,10.7,16.4,4.2,0.0,250.0,7.1,22.2,1016.2,
2022-10-14,11.6,10.0,13.8,0.0,0.0,217.0,8.4,22.2,1010.4,
2022-10-15,12.2,9.6,15.6,0.0,0.0,217.0,16.4,46.3,1004.1,
2022-10-16,12.9,9.8,15.5,2.0,0.0,195.0,14.4,33.3,1009.8,
2022-10-17,14.8,11.0,17.1,4.3,0.0,212.0,13.9,31.5,1016.5,
2022-10-18,11.8,8.1,16.8,0.0,0.0,55.0,8.1,22.2,1027.5,
2022-10-19,13.4,11.0,15.5,0.5,0.0,85.0,19.6,48.2,1020.2,
2022-10-20,14.1,11.5,15.6,13.2,0.0,165.0,9.1,27.8,1007.4,
2022-10-21,14.4,11.3,16.9,3.9,0.0,165.0,15.8,42.6,1002.3,
2022-10-22,14.3,11.9,16.7,0.0,0.0,200.0,13.8,33.3,1008.6,
2022-10-23,14.6,13.6,15.8,14.4,,151.0,14.9,29.6,1002.3,
2022-10-24,13.4,11.6,16.0,0.6,,228.0,19.2,42.6,1002.1,
2022-10-25,13.1,10.5,16.1,0.2,,193.0,13.0,27.8,1011.1,
2022-10-26,15.6,14.1,17.8,0.5,,193.0,17.3,40.8,1010.8,
2022-10-27,15.7,14.1,18.2,1.7,,169.0,13.0,27.8,1014.4,
2022-10-28,15.6,12.8,18.5,,,194.0,13.1,31.5,1014.3,
